trial	lh	ps	id	rw	wt	alh	aps	aid	arw	awt	rep	quality
29	-1	-1	1	1	1	0.16	50	0.15	0.8	0.8	2	450
30	1	-1	1	1	-1	0.28	50	0.15	0.8	1.2	2	450
31	-1	1	1	1	-1	0.16	60	0.15	0.8	1.2	2	450
32	1	1	1	1	1	0.28	60	0.15	0.8	0.8	2	450
33	-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	3	450
34	1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	3	450
35	-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	3	450
36	1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	3	450
37	-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	3	450
38	1	-1	1	-1	1	0.28	50	0.15	0.4	0.8	3	450
39	-1	1	1	-1	1	0.16	60	0.15	0.4	0.8	3	450
40	1	1	1	-1	-1	0.28	60	0.15	0.4	1.2	3	450
41	-1	-1	-1	1	-1	0.16	50	0.25	0.8	1.2	3	450
42	1	-1	-1	1	1	0.28	50	0.25	0.8	0.8	3	375
43	-1	1	-1	1	1	0.16	60	0.25	0.8	0.8	3	450
44	1	1	-1	1	-1	0.28	60	0.25	0.8	1.2	3	450
45	-1	-1	1	1	1	0.16	50	0.15	0.8	0.8	3	450
46	1	-1	1	1	-1	0.28	50	0.15	0.8	1.2	3	450
47	-1	1	1	1	-1	0.16	60	0.15	0.8	1.2	3	450
48	1	1	1	1	1	0.28	60	0.15	0.8	0.8	3	450
49	-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	4	450
50	1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	4	450
51	-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	4	450
52	1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	4	250
53	-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	4	450
54	1	-1	1	-1	1	0.28	50	0.15	0.4	0.8	4	450
55	-1	1	1	-1	1	0.16	60	0.15	0.4	0.8	4	450
56	1	1	1	-1	-1	0.28	60	0.15	0.4	1.2	4	450
57	-1	-1	-1	1	-1	0.16	50	0.25	0.8	1.2	4	450
58	1	-1	-1	1	1	0.28	50	0.25	0.8	0.8	4	400
59	-1	1	-1	1	1	0.16	60	0.25	0.8	0.8	4	400
60	1	1	-1	1	-1	0.28	60	0.25	0.8	1.2	4	450
61	-1	-1	1	1	1	0.16	50	0.15	0.8	0.8	4	450
62	1	-1	1	1	-1	0.28	50	0.15	0.8	1.2	4	450
63	-1	1	1	1	-1	0.16	60	0.15	0.8	1.2	4	450
64	1	1	1	1	1	0.28	60	0.15	0.8	0.8	4	450
65	-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	5	450
66	1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	5	450
67	-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	5	450
68	1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	5	250
69	-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	5	450
70	1	-1	1	-1	1	0.28	50	0.15	0.4	0.8	5	450
71	-1	1	1	-1	1	0.16	60	0.15	0.4	0.8	5	450
72	1	1	1	-1	-1	0.28	60	0.15	0.4	1.2	5	450
73	-1	-1	-1	1	-1	0.16	50	0.25	0.8	1.2	5	450
74	1	-1	-1	1	1	0.28	50	0.25	0.8	0.8	5	450
75	-1	1	-1	1	1	0.16	60	0.25	0.8	0.8	5	400
76	1	1	-1	1	-1	0.28	60	0.25	0.8	1.2	5	450
77	-1	-1	1	1	1	0.16	50	0.15	0.8	0.8	5	450
78	1	-1	1	1	-1	0.28	50	0.15	0.8	1.2	5	450
79	-1	1	1	1	-1	0.16	60	0.15	0.8	1.2	5	450
80	1	1	1	1	1	0.28	60	0.15	0.8	0.8	5	450
